Country;FIFA_Points
Morocco;1716.34
Senegal;1648.07
Algeria;1517.68
Egypt;1515.18
Nigeria;1502.46
Tunisia;1494.86
Côte d'Ivoire;1489.59
Mali;1455.03
Congo DR;1444.16
Cameroon;1440.43
South Africa;1426.73
Burkina Faso;1404.81
Cabo Verde;1370.49
Ghana;1351.09
Gabon;1321.25
Guinea;1307.05
Uganda;1288.01
Angola;1271.54
Zambia;1258.41
Benin;1255.72
Equatorial Guinea;1229.09
Mozambique;1223.48
Madagascar;1198.87
Comoros;1186.41
Niger;1185.09
Libya;1183.06
Tanzania;1181.22
Kenya;1179.54
Mauritania;1171.35
The Gambia;1161.55
Sudan;1154.44
Namibia;1153.22
Sierra Leone;1149.11
Togo;1140.35
Malawi;1133.75
Zimbabwe;1123.69
Rwanda;1117.78
Guinea-Bissau;1108.09
Congo;1105.96
Botswana;1084.56
Central African Republic;1083.57
Liberia;1081.46
Lesotho;1065.97
Burundi;1060.22
Ethiopia;1055.36
Eswatini;1010.52
South Sudan;977.59
Mauritius;915.51
Chad;914.65
Djibouti;847.03
Somalia;828.98
Seychelles;805.33
