team1,team2,goals1,goals2,xg1,xg2,dominance_team1_xgshare,fv1,fv2,luck_match_pct,low_xg_goal_count,match_id,match_date,competition_id,season_id
England,Serbia,0,0,0.558814127,0.249405245,0.691413923446517,-0.558814127,-0.249405245,27.684418400539112,0,3930163,2024-06-16,55,282
ATK Mohun Bagan,Jamshedpur,0,0,1.3470252523,0.773467009,0.6352417676234223,-1.3470252523,-0.773467009,21.289810355101686,0,3813268,2021-12-06,1238,108
Germany,France,0,0,0.825419428,0.446023905,0.6491987543419679,-0.825419428,-0.446023905,22.98198407561592,0,3788751,2021-06-15,55,43
Hyderabad,Chennaiyin,0,0,1.211728161,0.90989089,0.5711337105635748,-1.211728161,-0.90989089,12.454826120031056,0,3817879,2022-01-13,1238,108
New Zealand Women's,Norway Women's,0,0,1.6264745423,0.978000758,0.6244922123518132,-1.6264745423,-0.978000758,19.934950330762398,0,3893787,2023-07-20,72,107
Switzerland Women's,WNT Finland,0,0,1.200156688,1.084608284,0.525286715573824,-1.200156688,-1.084608284,4.813888267895904,0,3998852,2025-07-10,53,315
Arsenal WFC,West Ham United LFC,0,0,2.391074492,0.414609262,0.8522252333646296,-2.391074492,-0.414609262,41.33006388158985,0,3775609,2021-04-28,37,90
England,Czech Republic,0,0,0.642329757,0.393042279,0.6203854601690246,-0.642329757,-0.393042279,19.404945457010797,0,3788772,2021-06-22,55,43
Paris Saint-Germain,OGC Nice,0,0,0.7725035410000001,0.38245800900000004,0.6688565008939042,-0.7725035410000001,-0.38245800900000004,25.245549780593173,0,3837727,2022-10-01,7,235
Australia Women's,Canada Women's,0,0,3.1008675615,0.52952204,0.8541418144815055,-3.1008675615,-0.52952204,41.461711448523594,0,3893821,2023-07-31,72,107
Manchester City WFC,Tottenham Hotspur Women,0,0,3.038886399,0.35005636500000004,0.896706321299205,-3.038886399,-0.35005636500000004,44.240384156591176,0,3775545,2020-10-04,37,90
Wales,Turkey,0,0,2.873955951,1.310312803,0.6868478388852554,-2.873955951,-1.310312803,27.20367282344614,0,3788755,2021-06-16,55,43
France Women's,Germany Women's,0,0,7.406562049,6.628661215,0.5277124495766055,-7.406562049,-6.628661215,5.251429940460893,0,4018357,2025-07-19,53,315
Morocco,Tanzania,0,0,2.300281349,0.011926915,0.9948417643922061,-2.300281349,-0.011926915,49.74075095193931,0,3920394,2024-01-17,1267,107
Austria Women's,Norway Women's,0,0,1.3322924896,0.4995674685,0.7272894872279702,-1.3322924896,-0.4995674685,31.251584303008894,0,3835336,2022-07-15,53,106
Iceland Women's,Italy Women's,0,0,1.297178113,1.1555974865,0.5288613084965582,-1.297178113,-1.1555974865,5.457254677715948,0,3835334,2022-07-14,53,106
Manchester United,Reading WFC,0,0,1.807298074,0.502591669,0.7824174636373543,-1.807298074,-0.502591669,36.09549591651919,0,3775558,2020-12-13,37,90
Congo DR,Egypt,0,0,8.626787165,8.424148152999999,0.5059421670489267,-8.626787165,-8.424148152999999,1.1744755499598591,0,3922240,2024-01-28,1267,107
Paris Saint-Germain,Angers,0,0,1.9138047459999998,1.245513276,0.6057651469947523,-1.9138047459999998,-1.245513276,17.459761017856724,0,3837954,2023-04-21,7,235
Tottenham Hotspur Women,Aston Villa,0,0,0.448527685,0.216967472,0.6739758813902232,-0.448527685,-0.216967472,25.813369023140677,0,3775633,2021-02-06,37,90
Barcelona,Sevilla,0,0,1.6534482454000001,0.688010283,0.7061616617783356,-1.6534482454000001,-0.688010283,29.1946834467275,0,3773672,2020-10-04,11,90
Hyderabad,NorthEast United,0,0,3.0334522425,0.3039607535,0.9089232426839869,-3.0334522425,-0.3039607535,44.9898543111809,0,3817871,2022-01-31,1238,108
Kerala Blasters,NorthEast United,0,0,1.4166016035000002,0.4784987785,0.7475074233297263,-1.4166016035000002,-0.4784987785,33.1110321590145,0,3817886,2022-02-04,1238,108
Barcelona,Real Sociedad,0,0,1.934650179,0.658936379,0.745936229902376,-1.934650179,-0.658936379,32.970141420073226,0,303479,2020-03-07,11,42
Arsenal WFC,Liverpool WFC,0,0,1.404009463,0.83203932,0.6278975099623306,-1.404009463,-0.83203932,20.369169798109827,0,2275062,2020-02-13,37,42
Kerala Blasters,Jamshedpur,0,0,1.4229634847000001,1.093065523,0.5655592524351641,-1.4229634847000001,-1.093065523,11.591933498193445,0,3827335,2022-03-15,1238,108
Barcelona,Atlético Madrid,0,0,0.864885166,0.55558012,0.6088745529540522,-0.864885166,-0.55558012,17.8812782412781,0,3773372,2021-05-08,11,90
Brighton & Hove Albion WFC,Bristol City WFC,0,0,1.6893014493,0.8698701560000001,0.6600969805234967,-1.6893014493,-0.8698701560000001,24.253554439308324,0,3775585,2021-05-09,37,90
Manchester United,West Ham United LFC,0,0,2.645717678,0.547712296,0.8284877700593664,-2.645717678,-0.547712296,39.649078952104276,0,3775561,2020-10-18,37,90
Jamshedpur,Odisha,0,0,1.509152394,0.5713093424,0.7253930065598874,-1.509152394,-0.5713093424,31.07184719477707,0,3813269,2021-12-14,1238,108
Bayer Leverkusen,RB Leipzig,0,0,1.8806014,1.086765495,0.6337609963799236,-1.8806014,-1.086765495,21.10590540345232,0,3895202,2024-01-20,9,281
Paris Saint-Germain,Auxerre,0,0,1.552036984,0.87070362,0.6406121156501655,-1.552036984,-0.87070362,21.949649751387625,0,3837998,2023-05-21,7,235
Germany,Hungary,0,0,2.097695337,0.7371347775,0.739972150807346,-2.097695337,-0.7371347775,32.42988949591206,0,3788774,2021-06-23,55,43
Paraguay,Colombia,0,0,0.827596594,0.621920841,0.5709462846164386,-0.827596594,-0.621920841,12.426087449557578,0,3939975,2024-06-25,223,282
Reading WFC,Manchester United,0,0,2.02229358,0.46089294999999997,0.8143945513428668,-2.02229358,-0.46089294999999997,38.60469729622541,0,2275153,2020-02-02,37,42
Bengaluru,Kerala Blasters,0,0,1.3665623265,0.572325257,0.7048177202894548,-1.3665623265,-0.572325257,29.059672365408208,0,3817861,2022-01-30,1238,108
Jamshedpur,Kerala Blasters,0,0,0.580244954,0.5551661544,0.511043929117155,-0.580244954,-0.5551661544,2.1610527956439607,0,3827337,2022-03-11,1238,108
Barcelona,Villarreal,0,0,2.6873112679999998,0.18251468750000002,0.9364021754872585,-2.6873112679999998,-0.18251468750000002,46.60413942974618,0,3773593,2020-09-27,11,90
Aston Villa,Bristol City WFC,0,0,1.125236374,0.515257816,0.6859130503839211,-1.125236374,-0.515257816,27.104463208545372,0,3775540,2021-04-24,37,90
Everton LFC,Aston Villa,0,0,2.730870501,0.6875018669999999,0.7988803462619143,-2.730870501,-0.6875018669999999,37.41240445586402,0,3775575,2020-10-03,37,90
Argentina,Croatia,0,0,1.8643632719999998,0.4100536413,0.819710432637856,-1.8643632719999998,-0.4100536413,39.002850263722635,0,3869519,2022-12-13,43,106
ATK Mohun Bagan,Goa,0,0,2.1126044815,0.924291314,0.6956460227019996,-2.1126044815,-0.924291314,28.124364449332916,0,3817848,2022-02-15,1238,108
Manchester United,Everton LFC,0,0,1.5937146580000001,0.355755255,0.817511800193656,-1.5937146580000001,-0.355755255,38.83880331983494,0,3775587,2021-01-31,37,90
Paris Saint-Germain,Lille,0,0,2.932692621,1.022864845,0.7414106977860804,-2.932692621,-1.022864845,32.56099466961492,0,3802907,2022-02-06,7,108
Arsenal WFC,Aston Villa,0,0,2.115845209,0.081766618,0.9627929659845246,-2.115845209,-0.081766618,48.0677552012738,0,3775560,2021-05-09,37,90
Lens,Paris Saint-Germain,0,0,1.714620601,1.500125587,0.5333611118042019,-1.714620601,-1.500125587,6.254882680019774,0,3837947,2023-04-15,7,235
Austria,Turkey,0,0,2.487898208,0.8825083735,0.7381596694167267,-2.487898208,-0.8825083735,32.26397746776302,0,3941022,2024-07-02,55,282
ATK Mohun Bagan,Hyderabad,0,0,1.7168171233,0.9427714730000001,0.6455198092247889,-1.7168171233,-0.9427714730000001,22.54304316385659,0,3827338,2022-03-12,1238,108
Korea Republic Women's,Morocco Women's,0,0,1.3857554852,1.032568492,0.5730230929622857,-1.3857554852,-1.032568492,12.74348169543872,0,3893819,2023-07-30,72,107
Kerala Blasters,Odisha,0,0,0.9342839780000001,0.662337826,0.5851629832809173,-0.9342839780000001,-0.662337826,14.553720196623132,0,3817851,2022-01-12,1238,108
England Women's,Austria Women's,0,0,2.07907401,0.471990127,0.8149830417219337,-2.07907401,-0.471990127,38.649030175698265,0,3835319,2022-07-06,53,106
France Women's,Morocco Women's,0,0,1.84046928,0.024844848,0.9866806091118611,-1.84046928,-0.024844848,49.32504040491238,0,3901833,2023-08-08,72,107
Cape Verde Islands,South Africa,0,0,5.4274397822,4.2306515742999995,0.5619578011702359,-5.4274397822,-4.2306515742999995,11.025347640198829,0,3922658,2024-02-03,1267,107
Spain Women's,Belgium Women's,0,0,3.156325498,0.6678739819999999,0.825355872387703,-3.156325498,-0.6678739819999999,39.42007118050409,0,3998847,2025-07-07,53,315
Austria,Ukraine,0,0,1.493506239,0.4102860215,0.78449013056065,-1.493506239,-0.4102860215,36.26433520041024,0,3788767,2021-06-21,55,43
Paris Saint-Germain,Strasbourg,0,0,1.883982864,1.4863644219999999,0.5589877553051665,-1.883982864,-1.4863644219999999,10.552602404137371,0,3802643,2022-04-29,7,108
Manchester City WFC,Bristol City WFC,0,0,3.749365486,0.914082746,0.8039899446663356,-3.749365486,-0.914082746,37.81016748816363,0,3775625,2020-11-07,37,90
